"zpUaS","efdml","vNqhQ","llwez","CVFLD","DwRsZ","gUGeA","jdTsK","CvVUB","vBztq","NvwZr","bGZSr","capGG","irUbB","AlueB","SSAtf","fnPwi","pHZXE","qzjdp","NDapo","GkCZP","wMcue","NkQeJ","uAkMU","Gpgqk","tGwHt","LEoAr","tFErF","lRGmA","iaDHy","ScDgC","IfPOJ","lvKEs","PwEPl","UUZzB","vHeBx","AoZbU"
"A","F","B","B","A","C","A","D","A","B",NA,"A","E","B","B","C","A","A","B","B","D","E","A","D",NA,NA,"A","E","B","B","A",NA,"B","D","A","A","B"
"C","A","E","A","B","B","C","E",NA,"C",NA,"A","A","B","A",NA,"A","B",NA,NA,"D","C","A","A",NA,"A","B","F","D","D","B","B","E","C","B","E","B"
"C","F","D","C","B","B","C","A",NA,"A","E","C","D","B",NA,"A","A",NA,NA,NA,"B","A","A","B","C","A","A",NA,"D",NA,"B","B","D","D","A","C","A"
"B","F","D","B","B","A","E","A",NA,"A","C","C","C","B","A","B","B",NA,NA,"B","B","D","A","D","B","A","A","F","D",NA,"B","D","E","C","B","D","B"
"B","A","D","A","C","C","C","C","B","A","C","C","C","B",NA,NA,"B",NA,"A",NA,NA,"D","A","D",NA,NA,"A",NA,"A","F","B","B","A","F","C","B","B"
"B","F","D","A","B","C","C","C","B","A","B","A","F","B",NA,"C","A","A",NA,NA,NA,"A","A",NA,NA,NA,"B",NA,"B","B","A",NA,"D","D","B","A","B"
"B","F","E","C","C","C",NA,"C","D","A","A","B","D","B",NA,"B","A","A","A",NA,"E","C","A","D","C","A","A","C","A","F","B",NA,"E","F","B","D","B"
NA,"F","D","A","C","A","C","C","F","B","D","A",NA,"B",NA,NA,"B","A","A",NA,NA,"D","A",NA,NA,"A","B","E","B","F","B","E","B","C","B","C","B"
NA,"F","E","B","C","A","C","D","A","A",NA,"A",NA,"B","A","B","B",NA,NA,NA,NA,"D","A",NA,"A","A","B","F","D",NA,"B","C","E","B","B","A","B"
NA,"C","D","B","A","C","C","A",NA,"A",NA,"C","E","B",NA,"B","A","B","B",NA,"B","F","A","D",NA,NA,"A",NA,"D","D","B","E","B","B","B","C","B"
"B","F","D","C","B","C","C","B",NA,"A","E","C","C","B","B",NA,"C","B",NA,NA,NA,"D","A","A","A","A","B",NA,"D","E","A",NA,NA,"A","A","A","A"
"B","A","D","C","A","B",NA,"E","B","A","F","A","A","B","B","B","C","B",NA,NA,"B","B","A","D","C","A","B",NA,"C","C","A","B","D","F","A","F","A"
"B","A","D","A","C","C",NA,"E","C","C",NA,"A",NA,"B",NA,"B","C",NA,NA,"B",NA,"F","A","A",NA,"A","B","B","C","E","A",NA,"B","D","B","B","B"
"B","A","D","C","C","B","C","A","A","A","D","C","E","B",NA,"B","B","A","A",NA,"D","A","A","D","B","A","A",NA,"D","E","A",NA,"E","D","B","E","B"
"A","F","D","C","B","C","A","D","D","A","C","A","C","B","C","B","B","A",NA,NA,"B","B","A","D","A",NA,"A","E","C","D","A","C",NA,"A","B","A","B"
"C","A","D","A","C","A","D","A",NA,"B","D","C","C","B",NA,"B","A","B",NA,NA,"B","A","A",NA,NA,"A","A",NA,"D",NA,"A",NA,NA,"D","B","A","B"
"B","B","D","A","C","C",NA,"A","B","A",NA,"A",NA,"B","A","C","A","B",NA,NA,"B","F","B","B",NA,NA,"B",NA,"C","D","B","C","E","E","A","C","B"
"A","D","E","A","B","B","C","C",NA,"A","D","A","F","B",NA,"C","B","A",NA,NA,"D","B","A","D","D","A","A","E","D","E","B","B","B","C","B","C","A"
"A","F","D","A","C","B","D","D","B","C","D","A","E","B",NA,"B","B",NA,NA,NA,"B","F","A","D",NA,"A","B",NA,"C","C","A",NA,"E","D","C","F","B"
"A","F","D","C","C","C","A","D",NA,"B",NA,"A","A","B",NA,NA,"B","B","A",NA,"D","F","A","D","A",NA,"A","A","D",NA,"B","B","E","C","B","C","A"
"C","A","A","C","C","B","A","D",NA,"B","B","A","E","B",NA,"B","A","B","A",NA,"D","C","A","C","A","A","A","F","D","E","B","E","D","E","A","B","A"
"A","C","D","C","C","B","C","E","D","C","E","C","A","B","A","B","B","A","B",NA,"B","B","A","D","D","A","A",NA,"A","E","B","C","E","B","A","C","A"
NA,"A","D","A","B","B","D","E","F","C","D","C","A","B",NA,NA,"B","A","A","E","B","D","A",NA,NA,"A","A","E","D",NA,"B","E","E","A","B","C","B"
NA,"F","A","C","B","B","C","D","A","C",NA,"A",NA,"A","A","B","C",NA,NA,NA,"B","E","A",NA,"A","A","B","B","D","B","A",NA,NA,"D","A","A","A"
"B","F","E","A","B","C","A","B","A","C","E","A","A","B",NA,"B","C","A",NA,"B","B","E","A","D",NA,"A","A","B","B","D","A",NA,NA,"E","B","E","B"
"A","D","E","A","C","B","E","E","A","B",NA,"A","A","A","B",NA,"C","B",NA,"E",NA,"D","A","D",NA,"A","A","B","C","B","B","C","B","A","C","B","A"
"B","F","D","B","B","C",NA,"E",NA,"A","B","B","C","B",NA,NA,"B",NA,"A",NA,"B","D","A","D","C","A","A","F","D","E","B","C","E","B","B","E","B"
"B","F","E","B","B","C","D","D","B","C",NA,"C",NA,"B",NA,"B","A",NA,"A",NA,NA,"E","A",NA,"C","A","B","F","B","F","A",NA,NA,"E","B","C","A"
"B","A","D","A","B","C","C","A","B","A","B","A","F","B","A","C","B",NA,"A",NA,NA,"F","A","D",NA,NA,"B",NA,"C","C","B","B","E","E","A","E","A"
"B","F","D","A","C","B","C","E","A","B","B","B","A","B",NA,"B","A","A","B","E","D","A","A","D",NA,"B","A",NA,"B","D","A","D",NA,"A","C","A","A"
NA,"B","D","A","C","B",NA,"B",NA,"B","B","A","F","B","B","A","A",NA,NA,"C",NA,"D","A",NA,NA,"A","A",NA,"D","E","B","D","E","F","B","D","B"
"C","F","D","A","B","A","E","C","B","A","E","C",NA,"B","A",NA,"C",NA,"A",NA,NA,"D","A","C","D","A","B",NA,"A","E","A",NA,NA,"B","B","F","A"
NA,"F","E","B","C","C","A","D","A","B","E","B","A","B",NA,"C","A",NA,"A",NA,NA,"D","A",NA,"C",NA,"B","F","B","E","A",NA,"B","A","C","A","B"
NA,"A","E","C","C","B",NA,"E","A","B","D","B",NA,"B","A","C","C","B","A",NA,"B","C","A",NA,"B","A","B","B","A","E","A","E","A","A","A","B","B"
"B","A","D","C","C","C","E","B","A","C",NA,"A","F","B",NA,"B","C","B",NA,"C","B","B","A","D","A",NA,"A","F","D","E","B","B","B","E","C","C","B"
"C","F","E","A","C","C","D","C",NA,"A","A","A","B","A","B","C","B","A","A","C","D","A","A","B",NA,NA,"A","B","D","E","A","B","E","C","B","B","A"
"B","A","D","A","B","C","C","A","F","B","F","A","F","B","B","B","A","B",NA,"B","B","F","A",NA,NA,"A","A","E","B","B","B","B","D","E","A","B","B"
NA,"C","B","B","C","B","D","D","A","A","A","A","A","B","A",NA,"A",NA,"A","E","B","D","A","B","D","A","A","B","D","D","A","B","A","C","B","B","B"
"B","A","E","C","B","A",NA,"E","B","A","A","A","F","A",NA,"B","A","B","A","E","D","E","A","D","D","A","A","B","A",NA,"A",NA,"B","D","A","C","A"
NA,"A","D","A","B","B","A","E","B","A","D","C",NA,"B","B",NA,"A","B","A",NA,NA,"D","A",NA,"C","A","B","E","A","B","A",NA,"E","E","B","F","B"
"C","F","D","A","B","A","A","A","D","C","A","C",NA,"B","B","C","A","A","B",NA,"B","B","A","C","C","A","A","B","A","B","B","E","D","E","C","D","B"
"B","C","E","C","B","B",NA,"A","B","B","A","C","A","B","A","B","A","B",NA,NA,"B","E","B",NA,"A","A","B","E","D","E","A",NA,NA,"A","C","B","B"
"C","C","D","B","B","C","C","C",NA,"C",NA,"B",NA,"B","A","C","C","B","A",NA,"D","B","B","C","D","A","B",NA,"B","B","A",NA,NA,"F","A","C","B"
NA,"A","D","B","B","C","D","A","B","A","D","C",NA,"B","A","B","A","B",NA,NA,"D","B","A","B","A","A","A","E","A","C","A",NA,"E","A","B","F","B"
NA,"F","D","B","B","B","D","C","A","C",NA,"A","B","A","B","B","B",NA,"B","E","B","C","A","D","C","B","A","A","C","B","A","A",NA,"A","B","C","B"
"B","F","D","B","B","B","C","D",NA,"B",NA,"A","A","B",NA,"C","C","B","A","E",NA,"F","A",NA,"C","B","B","C","D","D","B","A","A","D","B","F","A"
NA,"F","E","B","B","A","C","C","B","C","B","C","D","B",NA,"C","A","B","A",NA,"D","E","A","C","A","A","A","E","A","D","B","B","E","F","C","B","B"
"B","F","E","A","B","C",NA,"D","A","B","A","B",NA,"B","A",NA,"A","A","B","A","B","D","A","D","C",NA,"A",NA,"C","D","B","B","B","F","B","E","B"
"A","F","B","C","C","B",NA,"A","A","C","D","C","E","B",NA,"C","B",NA,"A",NA,NA,"D","A","C","A","A","A","E","A",NA,"A","E","D","F","B","F","B"
"B","F","E","C","B","B","D","B","B","B","D","C",NA,"B","B","C","C","A","B",NA,NA,"A","A","D","A","A","B","F","C",NA,"B","D","D","D","B","B","B"
NA,"F","D","B","C","C","C","A","A","A","A","C",NA,"B",NA,"C","C","B","B","B","D","D","A",NA,"C",NA,"B",NA,"A",NA,"B","E","B","A","A","B","A"
NA,"E","D","C","C","C",NA,"C","B","A","B","B",NA,"B",NA,"B","C","A",NA,NA,"E","A","A",NA,"C","A","B",NA,"B","D","A",NA,"A","F","A","F","A"
"B","F","E","A","B","C","C","C","B","C","E","B","C","A","B","C","C","B","A","E","B","B","A","D",NA,NA,"A","E","A","E","A","B",NA,"D","A","B","A"
"A","F","B","B","C","A",NA,"C",NA,"A","A","C",NA,"B","A","C","C","A","A","B","E","E","A","C","C","A","A","E","D","E","B","B","E","A","B","F","A"
"A","C","E","B","C","C","D","C","A","A","B","C","E","B","C","C","B","B","A",NA,"D","E","A",NA,NA,"A","B","F","B",NA,"A","D",NA,"E","B","B","B"
"B","F","E","B","A","B","D","D","B","A",NA,"A",NA,"B",NA,NA,"A","B","A","B",NA,"D","A",NA,"A","A","B","D","A","E","B","B","B","B","B","D","B"
NA,"F","D","C","B","B","C","D","D","B","E","C",NA,"B",NA,"C","C","B","B","B",NA,"B","A",NA,"A",NA,"B","F","A","E","B",NA,NA,"D","B","C","B"
"B","F","D","C","C","C","D","A","D","C",NA,"B","F","B","A","B","A","B","A",NA,"B","E","A","D","D",NA,"A","E","C","E","B",NA,"D","D","B","C","B"
NA,"A","E","C","B","B",NA,"D",NA,"B","B","A","F","B","A",NA,"C",NA,NA,NA,"B","D","A","A","B","A","A","F","B","B","A","B",NA,"F","B","B","B"
"B","F","E","A","B","B","C","C","B","A","E","C","C","B","B","B","B","A","A",NA,"B","B","A",NA,NA,"A","B","E","A",NA,"A",NA,"D","B","C","A","B"
"B","F","E","A","C","B","C","D","E","A","D","C","A","A",NA,"B","B","B","A","C","D","F","A","B","C","A","A","E","A","C","A","B","E","E","A","F","A"
"B","F","D","A","B","C","C","D",NA,"A","C","C","F","B","A","B","B","B","A",NA,NA,"F","A","D",NA,NA,"A",NA,"D","E","B","B","E","A","A","E","A"
"B","A","D","C","C","A","D","B","B","C",NA,"A","E","B","B","A","A",NA,"B",NA,NA,"B","A",NA,"A","B","B",NA,"A","E","B","B","E","C","B","C","A"
"B","F","B","B","B","C","A","C",NA,"A","E","B",NA,"B",NA,"C","A","B","A","B","B","C","A","B","C","A","B","F","D","D","A",NA,NA,"F","B","D","B"
"A","F","E","A","B","C","D","A","A","B","C","A","A","B",NA,NA,"A","B","A",NA,"D","F","A","D",NA,"A","A","B","B","D","A",NA,NA,"A","B","F","B"
NA,"B","E","A","B","C","C","B",NA,"A",NA,"A","D","B","A",NA,"A","B","B",NA,"B","D","A","D",NA,NA,"A","B","A","F","A",NA,"E","D","B","D","B"
"B","A","E","A","B","B",NA,"A",NA,"B","A","B",NA,"B","A","C","A","B","A","E",NA,"F","A",NA,"C","A","B","B","D","D","A","B","A","F","B","F","B"
"A","F","D","B","A","B","C","C","D","C","D","A","E","B",NA,"C","A","B",NA,NA,"A","C","A","C","A","A","B","F","B","D","A",NA,NA,"E","B","F","B"
"B","E","D","B","B","C","E","E","A","C",NA,"A","E","B",NA,"B","B","B",NA,"D",NA,"B","A","D","C",NA,"B",NA,"B","B","A",NA,NA,"C","C","A","B"
NA,"D","D","A","B","B","C","B",NA,"A",NA,"A","C","B","A","B","B","A",NA,NA,"D","D","A","D","A","A","A",NA,"D","D","B","E","B","A","B","D","A"
"A","F","D","C","A","B","C","C",NA,"C","B","A","A","B","A","C","B",NA,NA,"C","B","F","A",NA,"A","A","B","B","D",NA,"A",NA,NA,"C","C","A","B"
"B","D","B","C","C","C","D","B",NA,"B","E","C",NA,"A","A","B","A","A","A","B",NA,"A","A",NA,NA,NA,"B","E","D","E","A",NA,"D","D","B","A","B"
"B","F","D","B","C","A","C","D","D","A","D","A","F","B","A","B","B","B",NA,NA,NA,"B","A","D","B","A","A",NA,"B","E","A","C","E","A","B","A","B"
"B","E","E","A","C","C","D","E","A","A","D","A",NA,"A","A","A","A","A","A","C",NA,"A","A",NA,NA,NA,"B","E","D","F","B","E","E","C","B","C","B"
"A","F","D","A","B","B","E","A","A","C",NA,"A","F","B",NA,"C","C","A","A","E","D","D","A",NA,NA,NA,"A",NA,"A",NA,"B","C","D","B","B","C","B"
"B","A","D","B","A","C","C","A",NA,"B","E","A",NA,"B",NA,"B","B","A",NA,NA,"B","A","A",NA,"C",NA,"B",NA,"D",NA,"A","D","E","B","B","F","A"
"B","F","D","B","B","C",NA,"D",NA,"A","F","B","A","B","A","C","C","A","A","E","D","A","A","D","C","A","A",NA,"A","F","A",NA,NA,"F","B","C","A"
"B","F","D","A","B","C","C","C",NA,"A","D","C","C","B",NA,"B","A","B","B","E","B","B","A","D",NA,NA,"A",NA,"B","B","A",NA,NA,"A","B","A","B"
"B","A","E","C","C","B","C","E","A","C","C","B","E","B",NA,"C","B","B","B","C","B","B","A",NA,NA,"A","B","E","C",NA,"A",NA,NA,"E","C","B","A"
"C","F","D","B","C","A","A","D",NA,"C","C","B",NA,"A","B","A","C",NA,"A","E","B","B","A","C","C","B","B",NA,"C","C","B","B","A","C","C","C","B"
NA,"A","B","A","C","B","D","B",NA,"C","D","B","C","B",NA,"B","A","A","A",NA,"D","A","A","D",NA,"A","A","F","D","E","A",NA,NA,"D","B","C","A"
"B","F","D","A","C","B","D","D",NA,"B",NA,"A","A","B",NA,"B","C","B","A",NA,"B","F","A",NA,"C","A","A",NA,"B","D","B","B","A","B","B","D","A"
"B","C","B","B","C","C","D","D","A","B","A","C","C","B",NA,NA,"B","B","B",NA,"B","F","A",NA,NA,"A","A","E","B",NA,"A",NA,NA,"F","B","A","B"
"B","F","E","A","C","C","C","A","A","B","E","C",NA,"B",NA,"C","B","B","B",NA,NA,"F","A","D",NA,"A","B","B","C",NA,"A",NA,"E","F","C","A","B"
"B","F","E","A","B","B",NA,"A","B","B",NA,"A","A","B","A","C","B","A",NA,NA,"E","F","B","D",NA,"A","A",NA,"A",NA,"A",NA,"B","F","A","A","B"
"B","F","E","B","C","B","C","D",NA,"B","A","A","C","B","B","C","B","B",NA,"A",NA,"F","A","D","A","B","A","F","D",NA,"B","E","D","D","C","B","A"
"B","F","D","B","B","C","C","B",NA,"C",NA,"A","F","B","A","B","C","A",NA,NA,"B","C","A","D","A","A","A",NA,"B","E","B","B","E","A","C","D","B"
"B","F","D","A","B","C","C","D","B","A","E","C","B","B",NA,NA,"C","B","A",NA,"B","D","A","D","D",NA,"A",NA,"C","C","A","A",NA,"F","B","C","B"
"A","F","E","A","A","B","D","A","A","C","A","A",NA,"B","A","B","A","B","B","C","B","F","B","D",NA,"B","A","C","D","E","A","B",NA,"B","B","A","A"
"B","F","B","B","B","C","C","A",NA,"A","A","A","A","B",NA,"B","C","A","A","E","B","A","A","D","C",NA,"A","C","D","D","B","D","A","D","C","B","B"
"A","A","D","C","B","C","C","E","B","B","C","C",NA,"B",NA,"B","A","B","A","B","B","A","A","C","A",NA,"B","A","C","B","B","B","D","E","A","D","B"
"A","F","D","A","A","B","B","C","B","A","D","C",NA,"B","A","C","C","B","A",NA,NA,"E","A",NA,NA,"B","B",NA,"A","D","A","C","D","E","C","F","A"
"B","A","D","A","A","A","E","C",NA,"A","A","B",NA,"B",NA,"C","A","B","B",NA,"B","F","A",NA,"C","A","B",NA,"D","E","B","B","E","B","A","B","B"
"A","A","D","C","C","B",NA,"B","A","A","F","C","E","B","B","A","A","B","B","E",NA,"B","A","C","A","B","B","A","D","E","A","D",NA,"F","B","D","B"
"B","D","D","C","C","B","E","C","A","A",NA,"A",NA,"B",NA,NA,"A",NA,NA,"B","B","D","A",NA,"C","A","A","F","D","E","B","A","D","E","B","D","B"
NA,"F","D","A","C","B","C","A",NA,"B","F","B",NA,"B","B",NA,"B","A","B",NA,"D","D","A","C",NA,NA,"A","B","D","E","B","E","E","C","B","B","B"
NA,"F","D","A","A","C","A","E",NA,"C","D","C","C","B","A","B","A","B",NA,NA,"D","D","A","B",NA,NA,"A","E","D","E","A","B","B","B","C","B","B"
"B","F","D","B","B","C",NA,"E",NA,"A","E","C","D","A",NA,"B","B","A",NA,"C","B","C","A","D","C",NA,"A","B","A",NA,"A",NA,NA,"E","B","F","A"
"B","F","E","A","B","B","C","C","A","A",NA,"A",NA,"B","B","C","B","B","A","B","B","F","A","D","D","A","A","B","A",NA,"A",NA,"E","D","B","C","B"
"A","F","E","A","C","A","D","C",NA,"A",NA,"C","D","B","B","B","A","A","A",NA,"B","B","A",NA,NA,"A","B",NA,"D",NA,"A","B",NA,"B","B","C","A"
NA,"F","D","B","C","C","C","D",NA,"A",NA,"A","E","B",NA,"C","C","B",NA,"D","B","A","A","C","C",NA,"A",NA,"D","E","A","C","D","B","A","A","B"
"C","A","D","B","B","C","D","B","B","B",NA,"A",NA,"A","B","B","A",NA,NA,"B",NA,"B","A","C",NA,NA,"B",NA,"A","E","B","E","D","C","B","E","B"
"A","F","D","A","C","C","A","C","D","B","A","B","E","B","A","C","C","B","B",NA,"B","C","A","B",NA,NA,"A","B","A","D","B","A","B","B","C","B","B"
"B","A","D","C","B","C","E","A","B","C",NA,"A",NA,"B",NA,"B","C",NA,NA,"B","D","E","A","A","B","A","A","E","D","E","B","D","D","E","A","B","B"
"A","F","D","A","A","B",NA,"C","B","B","A","C","B","B",NA,NA,"C","B","A",NA,"D","B","A","C",NA,"A","A",NA,"B",NA,"A","B",NA,"F","A","A","A"
"A","A","D","B","A","B","D","B","A","C",NA,"A","A","B","A","C","B","B",NA,NA,NA,"A","A","A","C","A","B",NA,"B",NA,"B","E","E","A","B","C","B"
"B","F","D","B","B","A","C","D",NA,"A",NA,"A","C","B",NA,NA,"C","B","A","B","B","A","A","D","B","A","A",NA,"A","E","A",NA,NA,"D","B","B","B"
NA,"F","D","C","A","B",NA,"D","A","C",NA,"A","C","B",NA,"B","B","B",NA,NA,"B","F","A","C","A","A","A","E","A","F","A","B","E","F","B","C","A"
NA,"A","D","A","B","B",NA,"A","A","A",NA,"A",NA,"B",NA,NA,"A",NA,"A",NA,"B","D","A","D",NA,"B","B",NA,"C","C","B","B","E","F","B","C","A"
NA,"E","D","B","A","C","B","E",NA,"A","B","C",NA,"B","A","C","C",NA,NA,NA,NA,"D","A",NA,"C",NA,"B","B","D","E","A","B","A","E","C","B","B"
"B","D","B","A","C","A","C","B","B","C","D","A",NA,"B",NA,"C","A","A","A","E",NA,"A","A",NA,"C","A","B","E","B","B","A","D",NA,"A","B","C","B"
"B","F","E","A","C","B","A","C","B","C","C","B",NA,"B",NA,"B","B","B","A",NA,"D","B","B","D",NA,"B","B","A","C",NA,"B","B","E","E","A","C","A"
"B","A","B","A","B","A","E","E","F","C",NA,"A","F","B",NA,NA,"A","B","A","B","D","E","A",NA,"D","B","B","C","A","E","B","B",NA,"C","A","B","B"
"C","A","E","B","B","B","A","C","D","C","B","A","A","B","A","B","A","A","A",NA,"E","C","A","C","C","B","A","A","C","C","B","B",NA,"E","C","C","B"
"B","F","D","A","C","C","C","C","A","C","A","C","A","B",NA,"C","B","B","A",NA,"B","C","A","D","C",NA,"B",NA,"C",NA,"A",NA,NA,"B","B","A","A"
"A","A","D","B","C","C","E","B","D","C",NA,"A","F","A",NA,"A","B","B","B","B","B","F","A","C","D","A","A",NA,"A","F","A","B",NA,"B","C","A","A"
NA,"F","E","A","C","C",NA,"E",NA,"A",NA,"A","A","B",NA,"C","B","A","A",NA,NA,"A","A","D",NA,NA,"A","F","A",NA,"B","E","E","F","A","B","B"
"B","F","D","B","C","C","E","C",NA,"C",NA,"C","A","A","A","B","A","A","A","C","B","B","A","B","C","A","A",NA,"D","E","B","B","A","A","B","E","B"
"B","F","D","B","B","A","A","D",NA,"C","A","A",NA,"B",NA,NA,"A","B","A","D",NA,"D","A","D","C","B","B","A","D","E","A","E","D","A","B","D","B"
"A","A","D","A","C","B","C","A","A","B","A","B","A","B",NA,NA,"B","A","A",NA,"C","B","A","D",NA,"B","A",NA,"C","D","B","D","D","B","A","B","B"
"B","A","E","B","B","A","C","B",NA,"B","C","B","F","B",NA,"C","B","B","A",NA,NA,"F","A","D","C","A","B","B","D",NA,"B","B","A","D","C","D","B"
"B","A","B","A","C","C","D","A","B","C","F","A",NA,"B",NA,NA,"B",NA,NA,NA,"D","D","A","B","A","A","B","E","D","D","B","E",NA,"D","C","D","A"
NA,"F","D","A","C","C",NA,"D","A","A","D","C","C","B",NA,"C","B",NA,"A","B","B","D","B","D",NA,NA,"A","F","A","C","A",NA,"E","F","B","B","B"
NA,"F","B","A","B","A","D","A",NA,"A","B","B","F","B",NA,"C","A","B","B","B","D","E","B","D",NA,"A","A","B","D","D","B","D","A","D","A","B","A"
"B","F","A","B","A","A","E","A","B","A","B","C","A","B","A",NA,"A","A","A",NA,"B","D","A",NA,"C","A","A","E","A","C","B","D","E","D","B","B","B"
"C","F","E","A","C","B","C","E","D","A","C","B","C","B","B","B","A","A","A",NA,NA,"A","A","C",NA,"A","A","C","B","B","B","C","A","E","A","C","B"
"B","F","E","A","B","B","D","D","D","A",NA,"A","F","B","A","C","A",NA,"B",NA,NA,"D","A",NA,"D","A","B","F","C","E","A",NA,"D","F","B","A","B"
"A","A","D","A","C","C","D","A","F","B","D","A","A","B",NA,"C","A",NA,"A","E","D","C","A",NA,NA,NA,"A","B","C","C","B","A","B","A","B","A","A"
"C","F","B","A","B","B","C","D","B","A","A","B","A","B","A","B","C",NA,"B",NA,"D","B","A","D","C","A","A","B","B","D","B","E","A","D","A","C","A"
NA,"C","D","A","B","B","A","A",NA,"A","A","B","A","B",NA,"B","A",NA,"B",NA,"B","D","A","D",NA,"B","A","A","D","E","B","D","E","E","C","B","B"
"B","F","D","A","A","C","C","C","F","A","A","C","C","A","A",NA,"B",NA,"A","E",NA,"D","A",NA,"D","A","B",NA,"A","F","B","D",NA,"E","A","D","B"
"B","F","D","A","C","C","E","C","B","A","A","B","A","B",NA,"C","B","A","A",NA,"D","A","A","D","C",NA,"A",NA,"A","D","B","A","C","E","A","D","A"
"B","F","D","B","C","C","C","B",NA,"C","B","C","F","B",NA,"C","B","A","A",NA,NA,"E","A",NA,"A","A","B",NA,"D","D","B",NA,"A","B","B","C","B"
"C","F","D","A","C","B","C","A","A","B",NA,"A","D","B","A","B","A","B","B","C","E","A","A","A",NA,"A","A",NA,"B","D","A","D",NA,"B","C","B","A"
"A","A","D","A","C","B","C","A","B","A",NA,"A","E","B",NA,"C","C","B","A",NA,"D","A","A","D","A","A","A",NA,"C","D","B","B","B","D","B","F","B"
"C","F","D","A","B","C","C","E","A","C",NA,"A","F","B","A","C","C","A","B","B","B","B","B","A",NA,NA,"A","B","B","B","A","D",NA,"A","B","F","B"
"C","A","D","B","B","B",NA,"A","A","C",NA,"A","A","A","A","B","A","B","A","C","B","A","A","C","D",NA,"A",NA,"A","E","B","B","E","F","B","D","A"
"B","F","D","A","C","A","C","D","A","A","A","B","F","B","A",NA,"C","B","A",NA,NA,"D","A","D",NA,"A","B","B","D","E","B","C","E","B","B","C","B"
"B","A","B","A","C","B","E","C","D","B","E","C","D","B",NA,NA,"C",NA,"A","C",NA,"A","A",NA,"A","A","B","E","A","F","A",NA,NA,"B","B","A","B"
"A","F","E","A","B","B","C","B","A","C",NA,"A",NA,"B","A","B","B","B",NA,"D","B","F","A",NA,NA,"B","B",NA,"B","C","B","D","E","C","A","B","B"
"A","F","D","A","C","A",NA,"B",NA,"B",NA,"A",NA,"A","A",NA,"A",NA,NA,"C","B","B","A","C","D",NA,"B",NA,"D","F","A",NA,NA,"A","C","B","B"
"A","F","E","B","C","C","B","B",NA,"A",NA,"C","A","B","A","B","A","B","A",NA,"B","F","A",NA,"A",NA,"B","B","D","E","A",NA,NA,"B","C","B","B"
"B","F","D","A","C","C",NA,"D","A","C",NA,"B","A","A","A","B","B","A","A","A",NA,"C","A","D",NA,NA,"B",NA,"B",NA,"B","B","D","F","C","E","B"
NA,"F","D","B","B","C","E","D","E","C",NA,"A",NA,"B",NA,"B","B","A",NA,NA,"B","F","A",NA,"A","A","B","B","B",NA,"A",NA,"D","A","A","E","B"
"B","A","D","A","B","B","C","B",NA,"A","A","C","A","B","A",NA,"A",NA,"A","E","B","D","A","D",NA,"B","A",NA,"B","B","A","C","A","D","B","B","B"
"B","A","D","A","B","A","E","A","B","C","A","A",NA,"B",NA,"C","C","A","A",NA,NA,"C","A","D",NA,"A","B",NA,"B","D","B","D","A","B","A","B","B"
"B","A","D","C","B","A","D","A","B","C","C","A",NA,"B",NA,"C","C","B","A",NA,"B","C","A","D","A",NA,"A",NA,"A","C","B","E","E","D","B","D","B"
"A","A","D","B","C","C",NA,"C","F","A","E","B",NA,"B",NA,"B","C",NA,"A","E","B","B","A","D","C",NA,"A","B","D","E","B","A","B","A","B","F","B"
"B","A","D","A","C","B","C","B","A","C","C","A","F","B","B","C","A","A",NA,NA,NA,"E","A",NA,NA,NA,"B",NA,"B","D","A",NA,NA,"B","B","A","B"
NA,"F","E","B","C","B","E","D","B","B",NA,"A","C","B","A","C","B","B",NA,NA,"B","A","A","C","A","A","A","E","A","D","B","B","E","E","C","B","B"
"B","A","D","A","C","C","C","C",NA,"A","E","A","C","B","B",NA,"C",NA,NA,NA,NA,"D","A",NA,NA,"A","B",NA,"C","C","A",NA,NA,"B","A","B","A"
"B","A","E","B","B","A","E","B",NA,"A","D","A","D","B","A","C","C","A","A","D",NA,"A","B",NA,NA,"A","B",NA,"D","E","A",NA,"A","F","C","A","B"
NA,"F","E","C","B","A",NA,"C","B","B","A","B","E","B",NA,"C","C","B","A",NA,NA,"B","A","D","A",NA,"A","D","A","D","A","B",NA,"F","C","F","B"
"A","A","E","B","B","C",NA,"A","A","A","B","C","D","A","B","C","A","A","A","C","B","C","A","D","C",NA,"A","E","C","B","B",NA,"B","D","C","D","B"
"C","A","E","A","C","A","D","E","A","A","B","A","E","B",NA,"B","A",NA,"A","B","D","A","A","C",NA,"A","A","E","A","E","B","C","E","D","B","B","A"
"B","F","D","A","C","C",NA,"A","F","A","D","C",NA,"B","B","B","A","A","A",NA,"E","A","A","D",NA,NA,"A",NA,"D","E","A",NA,"B","F","B","B","B"
NA,"E","D","B","C","C","B","E","B","C","D","C",NA,"B",NA,"B","B","A",NA,NA,"B","E","A",NA,"B","A","B",NA,"C","D","A",NA,"B","E","C","A","A"
"A","F","E","A","C","A","C","D",NA,"C",NA,"A",NA,"B",NA,"B","B","B","A","E",NA,"C","A",NA,NA,"A","B","F","D",NA,"A","B","B","D","B","A","A"
"B","F","B","C","B","B","C","A","A","B","E","A","E","B",NA,"C","A",NA,"B","B","B","F","A",NA,"A","B","A","A","B","D","A",NA,"B","B","B","A","B"
