"WYwfp","vhQvJ","tLOHX","RgmKY","FAIJt","uEpzT","QGdLi","Yeylk","QCQtq","EfFHC","INUSU","HKwVn","hBMen","bjoNn","eVSpV","SYltm","Psrrk","aiiZa","wgriv","RcBhT","hgaQp","UtoEB","LmjIf","EaQAS","hkpyF","IOHMH","OMcWd","AJvLt","Lctit","xISFX","LmZyP","kJviW","kgMLV","HtoiS","osOKb","WtGYX","LzfyG","OeKSO","cFJIc","RqRVT","DYMQB","zgjGa","iAdij","cEpaJ","UIirr","gFyTi","pvPbb","PDaYY","UPHgP"
"B",NA,"B",NA,"B","C","E",NA,"A","C","B","C",NA,"E","C","B","B","E","C","D","C","A","B","A","A","A",NA,"B","B",NA,"C","D","B","E",NA,NA,NA,"F","D","C",NA,"D","C","C","E","B","C","E","A"
"B","C","A","C","C","A","D",NA,"A",NA,NA,NA,"C",NA,"C","B","D","E",NA,"D","F","B","C","B","C","C",NA,"C","A",NA,"F","A","D","C",NA,NA,NA,"F","A","A","B","D","C","D","E","A",NA,"E",NA
"C",NA,"A","D","B","B","B","F","B","A","A","B",NA,"B","A","A","B","E","A","C","C","B","B","A","E","F","F","C","D","C","E","E","B","E",NA,"E","C","F","E","C",NA,"E","C","D","A","B","D","E","C"
"C",NA,"B","D","B","A","D","C","A","A",NA,"B","A","B","E","A","A","A","D","B","F","B","C","B",NA,"A","D",NA,"C","D","C","A","C","C",NA,"B",NA,NA,"A",NA,"A","D","C","D","D","B","C",NA,"C"
"A","A","A",NA,"C","B","B","F","A",NA,"C","C",NA,"D",NA,"A","D","A","E","B","E","A","B","A","E","C",NA,"A","B","D","F","B","A","C",NA,"C","B","F","E","C",NA,"E","C","E","D","B","D","F",NA
"B","A","A","A","C","C","C",NA,"B","C","A",NA,"B","B",NA,"A","D","A",NA,"D","C","A","C","A","E","C","D","B","B","D","B","B","B",NA,NA,NA,"A","F","A","C","C","D","C","D","A","B","C","C",NA
"A","C","A","D","B","C","E",NA,"A","B","C","D","A","A","C","A","D","B","A","D","A","A","A","B",NA,"C","C","C","C","A","F","F","D",NA,NA,"C","D","F","D",NA,"B","D","C","A","D","A","C","F","A"
"A","A","A",NA,"A","A","B","D","A",NA,NA,"C","C","D","C","B","C","E",NA,"A","C","A","B","B",NA,"E","B","C","B","A","C","B","D","A","A","A","A","F","A","A","A","E","C","D","E","A","C","F",NA
"C",NA,"A",NA,"B","C","D","F","A",NA,"B","C",NA,"B","B","A","A","B",NA,"C","C","A","B","A","C","D","C","C","D","A","B","F","A","A","C","A",NA,NA,"B","B","A","A","D","D","B","A","A",NA,"A"
"C",NA,"A","B","B","C","A","E","A",NA,"B","C","A",NA,"D","A","B","A",NA,"A","C","B","C","B","F","E",NA,NA,"C","A","F","D","A",NA,"F","B","D",NA,"E","C","A","B","C","E","D","A","B","B","C"
"C","A","A","C","A","A","D","D","A",NA,NA,NA,"A","E",NA,"A","C","A","B","D","A","A","C","B",NA,"C",NA,NA,"B","C","A","B","A",NA,"D","D",NA,NA,"A","D","A","B","C","D","B","B","C","E",NA
"B","A","B","B","A","C","D",NA,"A","A","A","B","B","B","C","B","A","E","A","D","C","B","D","A","F","E","F",NA,"B","D","B","F","B","C",NA,NA,NA,NA,"A",NA,"E","E","C","D","D","B","C","A","A"
"A","A","A",NA,"B","A","D","A","A",NA,"C","D","A","B","E","A","A","E",NA,"C","E","A",NA,"A",NA,"D","C",NA,"B","C","E","E","C",NA,"E","D",NA,"D","A",NA,NA,"A","D","D","D","B","D",NA,"C"
"C","A","B","A","B","A","D","A","D","B",NA,"A","C","A","C","B","B","E","F","C","A","A",NA,"A",NA,"E","D","C","C","D","C","D","A","A","E",NA,NA,"E","A","D","E","A","A","E","A","A","C","B","C"
NA,"D","A",NA,"C","A","A","F","B","A","C","B",NA,"E",NA,"A","A","A","A","C","B","A",NA,"B",NA,"B","D","C","B",NA,"E","D","B","C","D","A","C","A","B","C",NA,"D","F","C","E","A",NA,NA,"A"
"B","C","A","C","C","C","D","F","B",NA,NA,"C","A","A","D","B","A","E",NA,"B","C","A","D","A","B","A","B","A","A",NA,"D","C","C","A","F","C","C",NA,"A","D","A","A","A","D","D","B","D","B",NA
"A","B","A","C","B","A","B","F","A",NA,"C","E","A","A",NA,"B","B","E","E","D","A","A","C","B",NA,"A","E","A","A","D","B","E","D","A",NA,"C","B","C","A","D","B","D","A","E","D","B","C","D","A"
"B",NA,"A","D","B","A","D","F","B",NA,"A",NA,NA,"E","A","B","C","A","B","B","E","A","B","A",NA,"C",NA,"A","D",NA,"B","B","D","A","C","F","C",NA,"E","A",NA,"A","E","E","D","A","D",NA,NA
"C","D","B","D","A","A","A","B","B","C",NA,"B","C","B","B","A","A","B","E","A","F","A",NA,"B",NA,"C",NA,"B","C","B","E","D","C","E","E","A","B","F","A","A","A","E","D","A","D","B",NA,NA,"A"
"C","B","A","D","B","C","D","E","A",NA,"C","E","B","E",NA,"A","A","A","A","D","C","A","A","A","A","B","C","C","B","A","C","E","D","A",NA,"A",NA,NA,"E",NA,"A","D","C","B","D","A",NA,"C","A"
"B","C","A","D","C","C","D","C","A","B","A",NA,"A","D","C","A","A","A","D","B","F","B","A","A","D","F",NA,NA,"C",NA,"C","A","C","A","B",NA,NA,NA,"D",NA,NA,"B","B","A","D","B",NA,"E","C"
"B",NA,"A","B","B","C","A",NA,"B","A","C","C",NA,"B",NA,"A","A","E","C","D","D","B","A","A","F","E","B",NA,"B","C","A","F","D","A","F","F","D","F","B","D","E","E","C","A","D","B","D","A",NA
"B","D","A","A","B","A","A","F","A","C","C","C","C",NA,NA,"A","D","A",NA,"B","C","B","A","A",NA,"D","B","A","A","D","D","F","B","A","C","B","D","F","A","D","E","D","A","B","D","A","D",NA,"A"
NA,"A","A","C","B","C","A","F","A","A",NA,"C",NA,"D",NA,"A","B","E",NA,"C","C","A","B","A",NA,"C","B","B","D","B","D","B","A",NA,"C","A","B","E","A","B",NA,"E","A","F","D","B",NA,NA,NA
"A",NA,"A","A","B","A","D",NA,"A",NA,NA,"C",NA,"D","E","A","C","A","F","A","F","B",NA,"B",NA,"D",NA,"B","C",NA,"C","E","C","E",NA,"B","B",NA,"E","A","B","D","C","A","D","A","B","F","C"
"B","D","A","B","C","B","C",NA,"A",NA,"A",NA,NA,NA,"D","A","A","E","B","B","D","A",NA,"B","B","B","F","C","A","B","A","D","A","A",NA,"A","D","F","A",NA,NA,"D","C","A","D","B","D",NA,"A"
"B","C","A","C","B","A","D","D","A","C","C","C","C","D",NA,"B","D","E","B","D","F","B","C","A",NA,"C","B","C","B","A","C","B","B",NA,"C","A",NA,NA,"B","C","E","A","A","E","D","A","D","F",NA
"B","B","A","B","C","B","A",NA,"B",NA,NA,"C","B",NA,"A","B","A","E","E","B","C","A",NA,"A","C","B","D","C","B",NA,"D","F","C",NA,NA,"E","C","F","C","B","A","D","C","D","D","A","C","B","A"
"C",NA,"A","C","B","B","D",NA,"A",NA,"A","C","A","E","E","A","A","B","A","C","D","A","D","B","E","F","F","A","C","C","B","E","D","A",NA,NA,NA,NA,"D","D","E","A","A","F","D","B",NA,"B","C"
NA,"C","A",NA,"C","B","D",NA,"A","A","B","C",NA,NA,"E","A","A","E","A","D","A","A","B","A","D","F","F",NA,"B",NA,"C","B","B","C","C","A",NA,NA,"E","C",NA,"E","C","F","D","A",NA,NA,"A"
"A","A","B",NA,"C","C","A","F","A","A","B",NA,NA,NA,"E","A","A","A","E","D","F","B","B","A","A","E",NA,NA,"D","C","A","D","D","A","C","A","D","F","A","D",NA,"E","A","F","D","B","B",NA,"A"
"B","A","A","C","B","C","D","D","A",NA,"B","A","A","B","B","A","C","B","B","C","D","B","D","B","B","A","B","C","A",NA,"A","B","A",NA,"B","B","C",NA,"A","C","D","D","E","A","E","B","D","E",NA
"B","A","B","A","C","A","A",NA,"B","C","A","C","A","B","E","B","D","B","A","A","B","A",NA,"A",NA,"F",NA,"C","D",NA,"D","B","C","C",NA,"F",NA,"F","C","B","A","E","C","E","D","B","A",NA,"A"
"B",NA,"A","B","B","A","A","E","B",NA,"B","C","C",NA,"E","B","D","A","E","A","E","A","D","B","B","D","D","C","B","A","A","A","C","E","B","F","B",NA,"A","D","E","E","D","E","D","A","B","B","A"
NA,NA,"A","C","B","B","D",NA,"A","A","C",NA,"B","A",NA,"B","C","C",NA,"D","C","B","D","B","B","E","D","B","A","A","A","F","B",NA,"A","A","C",NA,"C","C","A","A","C","D","D","A","B",NA,"C"
NA,"B","A",NA,"C","A","B","E","A",NA,"B","A","A","D","C","A","D","A","A","B","C","A","B","A",NA,"F","C","C","D","D","E","F","A","E","F","F","C",NA,"A",NA,NA,"D","E","F","D","B","C",NA,"A"
NA,"D","B","D","A","A","D","C","B","A","A","C","C",NA,"D","A","C","B","F","D","A","B",NA,"A",NA,"D","D","C","D","D","A","F","D","E","F","E","A",NA,"A",NA,NA,"B","C","D","A","B","B","B","A"
"A","B","A","D","A","A","A",NA,"B",NA,"A","C","C","A","A","A","B","A","A","A","C","A","D","A",NA,"C","B","B","A","B","F","B","A","C",NA,"D","A","C","A",NA,"B","D","C","D","D","A","B","D","C"
"A",NA,"A","D","C","C","E","E","A",NA,"C",NA,"B",NA,NA,"B","D","C","E","C","A","B",NA,"B","D","B","D","B","A",NA,"A","B","B",NA,"D","A","C","E","A","C",NA,"D","A","D","D","B","B","E",NA
"B","B","A","C","B","C","D","D","B",NA,"C","B","B","A",NA,"A","C","E","C","D","B","A","C","B","B","F","C","C","A","D","B","E","A","A","F","A",NA,"F","E",NA,"E","A","A","B","D","B",NA,"B",NA
"C","A","A","C","A","C","A","F","A",NA,"B","C","B",NA,"B","B","B","C","C","D","C","A",NA,"A","C","D","C","B","B","A","E","C","D","E",NA,"A","D","E","B","D",NA,"D","C","B","D","A","B",NA,"A"
"B","B","A",NA,"A","A","B","A","A",NA,"B",NA,"A","B","B","A","A","C","D","B","E","B","B","A",NA,"C",NA,"C","A","B","A","D","B","E",NA,"A","B","F","A","C",NA,"A","A","D","D","A","D","A",NA
"C","B","A","D","B","C","B","E","A","B","C",NA,NA,NA,"A","A","A","A","A","D","C","B",NA,"B","C","F","C","C","C","A","C","D","A",NA,NA,"E","A","F","E","D","A","A","C","C","D","A","B","A","A"
"C","B","A","C","B","A","D",NA,"A",NA,"B","A","C","A","B","A","C","E","E","C","A","B","A","A","B","D",NA,NA,"B","D","C","B","C","C",NA,"C",NA,NA,"E","A","E","E","C","E","D","B","B","B","A"
"B","A","A","D","B","A","A","E","B","A","A","C","A","E","B","A","B","E",NA,"D","C","A","D","A","E","E","B","B","A","D","E","F","A",NA,"B",NA,NA,"E","A","B","C","E","A","A","D","B","D","E","A"
"B",NA,"A","C","A","C","D","F","B",NA,"A",NA,"A","E",NA,"B","C","E","B","B","B","B","C","A","D","D",NA,"C","A",NA,"D","D","B",NA,"E","A","B",NA,"C","C","A","A","A","E","D","B",NA,"C","A"
"B",NA,"A","C","B","A","D","D","A",NA,"C","A",NA,"F","C","B","D","E","B","B","B","A","B","A","D","E","A",NA,"D","D","C","D","A","C","B","B",NA,"E","D","B",NA,"A","A","A","D","B","A",NA,"A"
"B","D","A","C","C","A","D","F","A",NA,"B","C","A","E","E","B","D","A","B","D","C","A","A","A",NA,"A","D",NA,"B","A","F","E","D","E","A","D",NA,NA,"E","A",NA,"A","E","C","D","A",NA,"E","C"
"B","B","A","C","C","A","D",NA,"A",NA,"B","C","A","B","C","A","D","E","A","D","A","B","A","B",NA,"A",NA,"C","B",NA,"F","C","C","E","D",NA,"C",NA,"A","A","E","E","E","E","D","B","D","A","A"
"A","A","B","C","A","A","D","F","A","C",NA,"C","B","A","E","B","B","A",NA,"C","C","A","D","A","B","B",NA,"B","D","D","F","D","D","E",NA,"A",NA,NA,"A","A","A","D","B","A","E","A","C","B","A"
"C","A","A","D","A","C","C","B","A","C","A","E","B","B","D","B","B","E","D","B","F","A","A","B","A","A","D","A","D",NA,"C","C","D","E","D","A","C","C","A","D","B","B","C","B","E","B","C","F","A"
"A","B","B","D","B","C","A",NA,"A","C","A","C","B",NA,"B","A","C","B","F","D","A","B",NA,"A","F","E",NA,"C","D","C","A","A","C","E","E","B","D","F","E","A","A","D","C","E","E","B","B",NA,"A"
"C",NA,"A",NA,"B","B","A",NA,"A","B","A",NA,"B",NA,"D","A","A","E","E","B","F","A",NA,"B","B","E","B","C","A",NA,"F","B","A","E","E","F","C","B","A","C","E","E","C","E","D","A","A",NA,"A"
"B",NA,"A","C","B","A","A","F","A",NA,"C","E","A","D",NA,"B","D","C","B","B","E","A","D","A",NA,"E",NA,"B","C",NA,"D","F","A",NA,"D","E","C",NA,"E","D","E","E","B","F","B","B","D","B","A"
"C","D","A",NA,"A","C","B","E","D",NA,"A","C",NA,"E","C","B","C","A",NA,"C","C","A","B","B","F","D","B","C","A","D","E","F","C",NA,NA,NA,"C","E","D","C",NA,"E","C","D","D","B","D","F","A"
"B","D","B",NA,"C","C","D","D","A","B","B","E","A","C","B","A","A","B","A","B","C","B",NA,"B","B","A","F",NA,"D","D","D","D","B","C","D","D",NA,NA,"E",NA,"E","D","B","E","E","B","A","D","A"
NA,"A","A","D","C","C","D","B","A","B","B","C","A","D",NA,"B","B","C","B","D","B","A","D","A",NA,"E","B","B","C",NA,"E","C","B","E","E","F",NA,NA,"E","C","A","E","A","D","D","B","D","A","A"
NA,"D","A","D","B","A","B","E","A","A","C",NA,"C","A","D","B","D","E","B","B","A","A",NA,"A",NA,"F","D","C","A","D","E","B","A",NA,"F","C","C","A","A","D",NA,"E","B","D","D","A",NA,"B","A"
"A","C","A","B","B","C","D","E","A","A","A","A","B","B","A","A","B","E",NA,"A","C","B","D","A","B","D","C","A","A","C","F","F","A","A","C","D","B",NA,"B","B","A","E","E","E","A","B","A","A",NA
"B",NA,"A",NA,"B","A","A","F","A","C",NA,"C","A","C","C","A","A","B","C","C","C","A","B","A",NA,"C","F",NA,"B",NA,"F","A","A","A","D","D","D","F","A","D","A","E","B","C","D","B","D","E","A"
"B",NA,"A","D","C","C","B",NA,"D","B","A","B","B","A","A","A","D","B",NA,"B","C","B","A","A","B","B","B","C","B","D","B","D","A","A","A","B","B",NA,"B","D","A","B","C","D","D","B","C","F","A"
"B","C","B","B","A","B","D","E","B","B",NA,NA,"B","D","B","A","B","C",NA,"A","B","B","A","A","D","D","B","C","C",NA,"B","F","B","C",NA,NA,"C",NA,"A","B","B","A","A","D","B","B",NA,"F","A"
"B",NA,"A",NA,"B","C","D","E","B","C",NA,"D","A","D",NA,"A","C","E","E","D","C","A","B","A","C","B",NA,NA,"C","B","B","C","B",NA,"E","A","D",NA,"C","C",NA,"D","F","D","E","B","D","B",NA
"C",NA,"A",NA,"A","C","B",NA,"D",NA,"A",NA,NA,"A","B","A","B","E","B","B","D","B","B","A","D","E","E","B","D",NA,"C","A","C",NA,"A","A","C","F","D","A","C","D","C","C","D","B","C",NA,"C"
"A",NA,"A",NA,"B","C","A","A","A","C",NA,NA,NA,"B","A","A","D","B","A","B","A","B","B","A","D","B",NA,"C","B","B","A","E","B",NA,"B","F","D","D","B","A","A","B","A","E","E","A","D",NA,"C"
"B","A","A","B","A","A","D","F","A","A",NA,"E","A",NA,"C","A","B","E",NA,"A","C","A","A","A",NA,"D","D","A","C","C","D","F","C","C","E",NA,NA,"F","D","A","A","E","E","D","D","B","B","E","A"
"A",NA,"A","C","A","C","A",NA,"B",NA,"A","C","B",NA,"A","A","B","A","B","A","B","B","A","A","F","A","B","A","A","B","C","A","C","C","A","D","B","A","D","A","A","A","C","E","D","A","B",NA,"C"
"B","B","B","C","B","A","D","D","B","B","C","A","C","A",NA,"A","A","E",NA,"C","C","A","A","A",NA,"A","C","B","D",NA,"C","E","D",NA,"F","A","C",NA,"A",NA,NA,"B","F","A","D","B","A","B","A"
"B","C","B","D","A","C","D","A","D","A","C","E","A","A","A","B","C","A","C","D","C","A",NA,"B","D","A","F","C","C","A","D","E","B",NA,"D","F",NA,NA,"B","D","B","D","E","E","D","A","C",NA,"A"
"C","A","A",NA,"C","A","D","F","A","A","B","D",NA,NA,"C","A","A","B",NA,"D","C","A","B","A",NA,"E","D",NA,"A","A","B","F","B","E",NA,"D",NA,NA,"A","C",NA,"A","C","D","D","A","B",NA,"A"
"C","A","B","C","A","A","A","A","A","A","B","C","A","A","D","A","B","B","A","D","B","A","A","B",NA,"A","C","B","D","A","D","F","C","C","A","A","C","E","A","B","A","B","E","D","D","A","D","B","A"
NA,NA,"A","C","B","A","B","D","A",NA,NA,"C","A",NA,"D","A","A","E",NA,"C","C","A","D","A",NA,"E","A","B","B","D","E","A","B","A","E","C","B","E","B","C","A","E","F","D","A","B",NA,"D","A"
NA,NA,"B","A","B","A","A",NA,"B","C","B","A",NA,"A","C","A","A","B","A","B","C","A","D","B","B","E","D","C","C","D","D","E","B","E","A",NA,"D","E","D","A","E","E","C","F","D","B","B","B","A"
"A","D","A",NA,"B","C","B","A","A","B","B","D",NA,"B","B","B","A","E","B","B","E","B","B","B",NA,"D","B",NA,"A",NA,"F","D","B","E",NA,"B","B","E","A","C","A","E","E","D","D","A",NA,NA,"A"
"A",NA,"B","A","B","A","D","A","C","B","A","C","C","B",NA,"B","A","A",NA,"B","C","A","A","A",NA,"E","B",NA,"B",NA,"F","B","B","C","D","D","C",NA,"A",NA,"A","E","D","D","E","B","A","D","A"
"B",NA,"B",NA,"B","B","D","E","A","B","C",NA,NA,"B",NA,"A","A","E",NA,"B","A","A","B","A","D","D","C",NA,"B","D","B","F","A","C","B",NA,"A","F","E","C",NA,"A","F","E","D","B",NA,NA,"A"
"C","C","A","D","B","B","E","B","B","C","C","C","C",NA,NA,"B","D","B","E","D","F","B",NA,"A","A","A",NA,"C","D","C","C","F","B","A","C","C",NA,"F","D","D","E","D","A","B","B","B","B","A","A"
NA,"A","B","B","B","A","D",NA,"B","A","C",NA,"C","D",NA,"A","A","E","F","A","B","A","A","A",NA,"F","C",NA,"C",NA,"D","A","C",NA,"B","D",NA,NA,"A","A","F","A","C","C","D","A","D","F","C"
"A","A","A","C","C","A","D","F","A","C","A","C",NA,NA,"D","A","B","B","A","A","B","A","B","B","C","E",NA,"C","C","A","D","D","C","C","D","F","D","E","A","B",NA,"D","E","D","E","A","B",NA,"A"
NA,"A","B","A","B","A","A","F","A","C","B","D","C","E","D","B","A","B","A","B","E","A",NA,"A",NA,"C",NA,NA,"B","D","E","F","A","A","E","C","A","F","B","D","E","E","A","F","E","B","A","E","A"
"C","B","A","C","C","B","A",NA,"D",NA,NA,"E",NA,NA,"C","B","A","E","F","D","F","A","C","A","A","A","D","C","D","C","B","D","C","E",NA,"A","A","E","D","D","B","A","C","B","A","B","B","F","A"
NA,"B","A","B","B","C","C",NA,"A",NA,"B","C","B",NA,"D","A","D","B",NA,"B","C","B","B","B","F","B","D","A","D","B","E","B","B","C",NA,"D","A","F","B","C","A","A","C","D","E","B","B",NA,NA
"B","D","B","C","C","B","A",NA,"A","B","C","C","B","A",NA,"A","A","E","C","A","B","B","D","B","E","A","C","A","A","A","F","D","B","A",NA,"A","B","F","E",NA,"A","D","C","A","D","A","D","B","C"
"B",NA,"B",NA,"C","B","B","E","A","B","A","C","B",NA,"B","A","A","B",NA,"D","C","A","B","B","B","F","B",NA,"B",NA,"D","B","B",NA,"D","A","C","F","D","C",NA,"E","E","E","D","B","C",NA,"A"
NA,"D","A","C","A","A","A","D","A","B","B","A","A",NA,"B","A","C","E","E","D","F","B",NA,"A","B","B","A","C","B",NA,"E","F","C","C","A","D","D","F","C","A","A","E","C","C","A","A","B",NA,"A"
"B",NA,"A","D","B","B","A","F","A",NA,NA,"B",NA,NA,"A","A","D","E","F","D","C","A","B","A","B","A","D","B","D","D","B","D","B","C",NA,"F","A","E","B","C",NA,"A","E","D","D","B","B","D","A"
"B","D","A","C","A","B","B","D","B",NA,"C",NA,"B","F","D","A","A","E","A","B","A","A","A","B","D","A",NA,NA,"C","C","D","A","C",NA,"D","C","C","F","B","A","D","B","F","A","D","B",NA,"D",NA
"B","B","A",NA,"C","A","B","A","A","A",NA,"A","A","E",NA,"B","D","B","E","C","F","B","A","A","F","B","B","B","A","D","A","C","D","C","A","E","B","F","B","A","E","B","C","D","E","B","D","B",NA
"C",NA,"A",NA,"B","A","D","C","A",NA,NA,"B",NA,"A","E","B","D","E",NA,"A","C","A","B","A",NA,"C","D",NA,"D","D","F","C","D","A",NA,"A",NA,NA,"A","A",NA,"D","A","D","D","B","D",NA,"A"
"B",NA,"A","D","A","A","B",NA,"A",NA,"B",NA,"A","B",NA,"B","B","E","A","B","D","B","A","B",NA,"D","C","C","D","A","D","C","D","E","F","F","A",NA,"A",NA,"A","A","C","F","D","A","D","D","A"
"C","B","A",NA,"A","C","A",NA,"A",NA,"A",NA,"A","C","C","A","C","A",NA,"B","C","A","D","A","E","F","D",NA,"D","D","B","D","B","C",NA,NA,"B","A","A","C","A","E","C","C","E","B","C","A","A"
"B","C","A","B","C","B","A",NA,"A","B",NA,NA,"B",NA,"B","A","A","A","F","C","D","A",NA,"A","E","B","D",NA,"B","A","A","D","D","E","F","A","D","F","E","D","A","B","A","D","D","A","C","F","A"
"C","D","A","B","A","A","D",NA,"A",NA,NA,"C",NA,"E","A","A","B","A","E","B","A","A","C","A","C","B","F","A","A",NA,"F","B","B","E","B",NA,NA,"F","E","D","E","E","B","D","D","B","C","B","A"
NA,"B","A","B","C","A","D",NA,"A",NA,"A","C","A","A","B","A","B","A","B","C","E","A",NA,"B","D","A","E","B","C","D","E","F","B","A","B","D",NA,NA,"E","A","E","E","C","C","D","A","B","B","A"
"B",NA,"B",NA,"B","B","A","C","B","A","C","C","A","A",NA,"B","A","A","E","B","A","A","D","A","D","C","D",NA,"A","A","F","D","D",NA,"F","A","C","E","A",NA,NA,"B","B","A","D","A",NA,"B",NA
"B","D","A",NA,"B","A","D",NA,"B",NA,"B","C","A",NA,"B","A","A","B","F","C","D","B","B","A","E","F",NA,NA,"A","B","F","E","C",NA,NA,"D","D",NA,"A","A",NA,"E","C","D","D","A","B","F","C"
"C",NA,"A","D","B","A","B",NA,"A",NA,"A","A","A","A","C","A","D","E","C","B","B","A","C","A","E","A",NA,"A","D",NA,"E","A","A","C",NA,"C","C","B","D","C","E","A","C","C","D","B","D","B","A"
"C",NA,"A","B","B","A","A","F","D","C","A","C","C","A","B","B","C","C","D","D","D","A","D","A",NA,"F","D",NA,"A","D","C","D","D","A","E","B","D","F","A","A","E","D","D","C","E","B","D","B","A"
"A",NA,"B",NA,"B","A","B",NA,"A","B",NA,"C",NA,NA,NA,"A","D","E","E","B","F","B","B","A",NA,"C","D","C","C","D","B","D","C",NA,"A","C","A","E","C","A","A","D","C","D","D","B","B","B","A"
"C",NA,"B",NA,"B","C","D",NA,"A","A","A","B","A","B","E","A","C","B","A","B","C","B",NA,"B","F","E",NA,"C","B","B","E","B","A","E","D",NA,NA,"E","A","C","A","D","C","D","D","A","A","A","A"
NA,NA,"A",NA,"B","C","D",NA,"A","A",NA,"C","A","E","A","B","D","A","C","D","C","A","C","B","E","A","C","B","D","C","F","E","A","C","E",NA,NA,NA,"E","C","A","E","C","D","D","B","C",NA,"C"
"A","D","A","D","C","C","C","C","A",NA,NA,"A","A","D",NA,"B","D","B","C","B","C","A",NA,"A","B","E","F","A","D",NA,"E","B","C",NA,"F","D",NA,"F","B","D","A","B","E","D","E","B","D","F","A"
NA,NA,"A","D","B","C","A",NA,"A",NA,"A",NA,"B","E","A","B","A","A","B","C","B","A","D","A","D","C","B",NA,"C","A","B","C","D",NA,NA,"E","B",NA,"A","D","A","D","C","D","D","A",NA,"B","A"
"C","D","A","D","B","C","A","F","B","B",NA,"C","B","C","C","A","A","E","B","C","F","A","C","B","F","D","B","C","A",NA,"A","D","A","A","A",NA,"C","E","A","C","A","D","A","D","D","A","D",NA,"C"
"B","C","A","D","C","C","A","E","A",NA,"B","C","B","B","C","A","A","E","B","D","C","B","D","A","B","A","B","A","A","D","B","A","B",NA,"D",NA,"D","F","A","D","E","E","B","F","D","B","A","E","C"
"A",NA,"A","B","A","C","D","E","D",NA,"C",NA,"B","A","E","B","A","B","A","D","F","A","A","A","D","B",NA,"C","B","B","F","F","C",NA,NA,"C","B","A","A","B","A","D","C","C","D","A",NA,"B",NA
"C",NA,"A","B","B","B","A",NA,"A",NA,"C","C","B","D","A","A","D","E","A","D","B","B","C","A","B","B","C","B","C","D","C","F","C","C","F","D","A","E","E",NA,"A","D","C","E","D","B","D","F","A"
"A","D","A","C","B","A","A","F","A",NA,"A",NA,"A","E","C","A","D","A","D","D","E","A",NA,"B",NA,"E",NA,"C","B","D","D","A","D",NA,"F",NA,"A","F","D",NA,"A","E","B","C","A","A",NA,"E","C"
"C","D","A","B","B","B","B","B","A",NA,NA,"B","B",NA,NA,"A","D","A","A","B","C","A",NA,"B",NA,"B","F","C","C","B","E","F","B","E",NA,"B","B","A","D","D","A","D","C","A","D","A","B","B","A"
"B",NA,"A",NA,"B","B","D","F","A",NA,NA,NA,"B","C",NA,"A","D","C","A","C","C","A",NA,"A",NA,"E",NA,"B","D","D","F","B","D","E","F",NA,"C","F","A",NA,"B","E","A","A","D","A","D","A","A"
NA,"D","B","D","B","A","A","E","A","B","B","C","A","A","A","A","D","A","B","B","C","A",NA,"A",NA,"E","B","C","A","B","E","A","B","C","D","D","B","E","D","C","B","E","F","B","E","A","B","B","C"
NA,"B","A",NA,"B","A","D","C","A","B","B","C","C","B",NA,"B","D","E",NA,"A","C","A",NA,"A",NA,"E","D","C","A","A","E","F","A","E","F","A",NA,"E","A",NA,"E","E","B","F","D","A","D","A","A"
"B","B","A","A","A","B","B","D","B",NA,"A","A","A","A","C","B","B","A",NA,"A","C","B","D","B","B","C",NA,"A","D","D","D","A","C","C","A","D","B","F","D","B","A","D","E","E","A","A","D","D",NA
"A","D","A","C","A","C","D","A","D",NA,"A","B","B",NA,"B","A","B","B","F","A","E","A",NA,"A","F","A","B","A","D","A","E","A","B","C","C","B",NA,NA,"D","C","A","A","C","A","D","A","B","F","A"
"A",NA,"B",NA,"B","A","B","C","A",NA,"A",NA,"B","D","C","B","B","E",NA,"D","F","A","B","B","D","B",NA,"B","A",NA,"E","C","D","A","D","B","A","E","A","D",NA,"A","E","A","D","B","A","F","A"
"B","B","A","A","A","B","D","C","A",NA,"A","E","A","B","C","A","A","C","F","C","A","A","D","A","E","F","C","C","D",NA,"F","A","B",NA,"E","D","A",NA,"D","A","B","D","D","B","D","B","A","E","C"
"B","B","B","B","A","A","B",NA,"A","C","B","C","A",NA,"A","A","C","C",NA,"D","C","A","B","A",NA,"D","C","C","B","C","B","B","B","C",NA,"D","B","A","B","C","B","A","C","B","D","B","C",NA,NA
"B","C","A","A","B","B","D","F","A",NA,NA,"B",NA,"B","D","B","A","B","A","B","A","B","D","A","D","D","C",NA,"A","C","D","F","D","E","A","C",NA,NA,"B","A","A","D","B","D","D","B","A","C","C"
"C","B","B","B","C","B","A","E","B","C","B",NA,NA,"E",NA,"A","A","E","E","B","A","B","B","B","F","B","D","A","A","A","E","D","A","C","A","C","C","E","B","C",NA,"E","A","D","E","A","A",NA,"C"
"B","A","A","D","C","A","A","F","A",NA,"A","C","C","F","E","B","D","E","A","A","A","B","D","A",NA,"D","B","C","D","A","A","C","A",NA,NA,"D",NA,"F","A","D","E","B","C","A","D","A",NA,"E","A"
"A","D","A","C","B","A","B",NA,"A","C","B","A","C","A","C","B","A","E","F","B","E","A",NA,"A","D","B","F",NA,"D","C","B","F","A","E","E",NA,"B","F","D","C","E","D","C","E","D","B","D","B","A"
